"Technology","Size","Year","Data_type","Value","Unit"
"BEV100","Light truck",1987,"stock",0,"vehicle"
"BEV300","Light truck",1987,"stock",0,"vehicle"
"CNG","Light truck",1987,"stock",0,"vehicle"
"FCV","Light truck",1987,"stock",0,"vehicle"
"FFV","Light truck",1987,"stock",0,"vehicle"
"HEV","Light truck",1987,"stock",0,"vehicle"
"ICEV-D","Light truck",1987,"stock",0,"vehicle"
"ICEV-G","Light truck",1987,"stock",50142578,"vehicle"
"PHEV20","Light truck",1987,"stock",0,"vehicle"
"PHEV40","Light truck",1987,"stock",0,"vehicle"
"BEV100","Car",1988,"stock",0,"vehicle"
"BEV300","Car",1988,"stock",0,"vehicle"
"CNG","Car",1988,"stock",0,"vehicle"
"FCV","Car",1988,"stock",0,"vehicle"
"FFV","Car",1988,"stock",0,"vehicle"
"HEV","Car",1988,"stock",0,"vehicle"
"ICEV-D","Car",1988,"stock",0,"vehicle"
"ICEV-G","Car",1988,"stock",134693324,"vehicle"
"PHEV20","Car",1988,"stock",0,"vehicle"
"PHEV40","Car",1988,"stock",0,"vehicle"
"BEV100","Light truck",1988,"stock",0,"vehicle"
"BEV300","Light truck",1988,"stock",0,"vehicle"
"CNG","Light truck",1988,"stock",0,"vehicle"
"FCV","Light truck",1988,"stock",0,"vehicle"
"FFV","Light truck",1988,"stock",0,"vehicle"
"HEV","Light truck",1988,"stock",0,"vehicle"
"ICEV-D","Light truck",1988,"stock",0,"vehicle"
"ICEV-G","Light truck",1988,"stock",53432685,"vehicle"
"PHEV20","Light truck",1988,"stock",0,"vehicle"
"PHEV40","Light truck",1988,"stock",0,"vehicle"
"BEV100","Car",1989,"stock",0,"vehicle"
"BEV300","Car",1989,"stock",0,"vehicle"
"CNG","Car",1989,"stock",0,"vehicle"
"FCV","Car",1989,"stock",0,"vehicle"
"FFV","Car",1989,"stock",0,"vehicle"
"HEV","Car",1989,"stock",0,"vehicle"
"ICEV-D","Car",1989,"stock",0,"vehicle"
"ICEV-G","Car",1989,"stock",135071001,"vehicle"
"PHEV20","Car",1989,"stock",0,"vehicle"
"PHEV40","Car",1989,"stock",0,"vehicle"
"BEV100","Light truck",1989,"stock",0,"vehicle"
"BEV300","Light truck",1989,"stock",0,"vehicle"
"CNG","Light truck",1989,"stock",0,"vehicle"
"FCV","Light truck",1989,"stock",0,"vehicle"
"FFV","Light truck",1989,"stock",0,"vehicle"
"HEV","Light truck",1989,"stock",0,"vehicle"
"ICEV-D","Light truck",1989,"stock",0,"vehicle"
"ICEV-G","Light truck",1989,"stock",56044029,"vehicle"
"PHEV20","Light truck",1989,"stock",0,"vehicle"
"PHEV40","Light truck",1989,"stock",0,"vehicle"
"BEV100","Car",1990,"stock",0,"vehicle"
"BEV300","Car",1990,"stock",0,"vehicle"
"CNG","Car",1990,"stock",0,"vehicle"
"FCV","Car",1990,"stock",0,"vehicle"
"FFV","Car",1990,"stock",0,"vehicle"
"HEV","Car",1990,"stock",0,"vehicle"
"ICEV-D","Car",1990,"stock",1508484,"vehicle"
"ICEV-G","Car",1990,"stock",132344718,"vehicle"
"PHEV20","Car",1990,"stock",0,"vehicle"
"PHEV40","Car",1990,"stock",0,"vehicle"
"BEV100","Light truck",1990,"stock",0,"vehicle"
"BEV300","Light truck",1990,"stock",0,"vehicle"
"CNG","Light truck",1990,"stock",1052,"vehicle"
"FCV","Light truck",1990,"stock",0,"vehicle"
"FFV","Light truck",1990,"stock",0,"vehicle"
"HEV","Light truck",1990,"stock",0,"vehicle"
"ICEV-D","Light truck",1990,"stock",1487915,"vehicle"
"ICEV-G","Light truck",1990,"stock",57396167,"vehicle"
"PHEV20","Light truck",1990,"stock",0,"vehicle"
"PHEV40","Light truck",1990,"stock",0,"vehicle"
"BEV100","Car",1991,"stock",0,"vehicle"
"BEV300","Car",1991,"stock",0,"vehicle"
"CNG","Car",1991,"stock",0,"vehicle"
"FCV","Car",1991,"stock",0,"vehicle"
"FFV","Car",1991,"stock",0,"vehicle"
"HEV","Car",1991,"stock",0,"vehicle"
"ICEV-D","Car",1991,"stock",1811425,"vehicle"
"ICEV-G","Car",1991,"stock",126153942,"vehicle"
"PHEV20","Car",1991,"stock",0,"vehicle"
"PHEV40","Car",1991,"stock",0,"vehicle"
"BEV100","Light truck",1991,"stock",0,"vehicle"
"BEV300","Light truck",1991,"stock",0,"vehicle"
"CNG","Light truck",1991,"stock",966,"vehicle"
"FCV","Light truck",1991,"stock",0,"vehicle"
"FFV","Light truck",1991,"stock",0,"vehicle"
"HEV","Light truck",1991,"stock",0,"vehicle"
"ICEV-D","Light truck",1991,"stock",1544195,"vehicle"
"ICEV-G","Light truck",1991,"stock",63144848,"vehicle"
"PHEV20","Light truck",1991,"stock",0,"vehicle"
"PHEV40","Light truck",1991,"stock",0,"vehicle"
"BEV100","Car",1992,"stock",0,"vehicle"
"BEV300","Car",1992,"stock",0,"vehicle"
"CNG","Car",1992,"stock",0,"vehicle"
"FCV","Car",1992,"stock",0,"vehicle"
"FFV","Car",1992,"stock",0,"vehicle"
"HEV","Car",1992,"stock",0,"vehicle"
"ICEV-D","Car",1992,"stock",1680427,"vehicle"
"ICEV-G","Car",1992,"stock",124109048,"vehicle"
"PHEV20","Car",1992,"stock",0,"vehicle"
"PHEV40","Car",1992,"stock",0,"vehicle"
"BEV100","Light truck",1992,"stock",0,"vehicle"
"BEV300","Light truck",1992,"stock",0,"vehicle"
"CNG","Light truck",1992,"stock",922,"vehicle"
"FCV","Light truck",1992,"stock",0,"vehicle"
"FFV","Light truck",1992,"stock",0,"vehicle"
"HEV","Light truck",1992,"stock",0,"vehicle"
"ICEV-D","Light truck",1992,"stock",1572386,"vehicle"
"ICEV-G","Light truck",1992,"stock",68066269,"vehicle"
"PHEV20","Light truck",1992,"stock",0,"vehicle"
"PHEV40","Light truck",1992,"stock",0,"vehicle"
"BEV100","Car",1993,"stock",0,"vehicle"
"BEV300","Car",1993,"stock",0,"vehicle"
"CNG","Car",1993,"stock",0,"vehicle"
"FCV","Car",1993,"stock",0,"vehicle"
"FFV","Car",1993,"stock",0,"vehicle"
"HEV","Car",1993,"stock",0,"vehicle"
"ICEV-D","Car",1993,"stock",1531387,"vehicle"
"ICEV-G","Car",1993,"stock",124669945,"vehicle"
"PHEV20","Car",1993,"stock",0,"vehicle"
"PHEV40","Car",1993,"stock",0,"vehicle"
"BEV100","Light truck",1993,"stock",0,"vehicle"
"BEV300","Light truck",1993,"stock",0,"vehicle"
"CNG","Light truck",1993,"stock",1285,"vehicle"
"FCV","Light truck",1993,"stock",0,"vehicle"
"FFV","Light truck",1993,"stock",0,"vehicle"
"HEV","Light truck",1993,"stock",0,"vehicle"
"ICEV-D","Light truck",1993,"stock",1669241,"vehicle"
"ICEV-G","Light truck",1993,"stock",71509586,"vehicle"
"PHEV20","Light truck",1993,"stock",0,"vehicle"
"PHEV40","Light truck",1993,"stock",0,"vehicle"
"BEV100","Car",1994,"stock",0,"vehicle"
"BEV300","Car",1994,"stock",0,"vehicle"
"CNG","Car",1994,"stock",0,"vehicle"
"FCV","Car",1994,"stock",0,"vehicle"
"FFV","Car",1994,"stock",0,"vehicle"
"HEV","Car",1994,"stock",0,"vehicle"
"ICEV-D","Car",1994,"stock",1369994,"vehicle"
"ICEV-G","Car",1994,"stock",124918770,"vehicle"
"PHEV20","Car",1994,"stock",0,"vehicle"
"PHEV40","Car",1994,"stock",0,"vehicle"
"BEV100","Light truck",1994,"stock",0,"vehicle"
"BEV300","Light truck",1994,"stock",0,"vehicle"
"CNG","Light truck",1994,"stock",2007,"vehicle"
"FCV","Light truck",1994,"stock",0,"vehicle"
"FFV","Light truck",1994,"stock",0,"vehicle"
"HEV","Light truck",1994,"stock",0,"vehicle"
"ICEV-D","Light truck",1994,"stock",1706394,"vehicle"
"ICEV-G","Light truck",1994,"stock",75021177,"vehicle"
"PHEV20","Light truck",1994,"stock",0,"vehicle"
"PHEV40","Light truck",1994,"stock",0,"vehicle"
"BEV100","Car",1995,"stock",0,"vehicle"
"BEV300","Car",1995,"stock",0,"vehicle"
"CNG","Car",1995,"stock",0,"vehicle"
"FCV","Car",1995,"stock",0,"vehicle"
"FFV","Car",1995,"stock",4851,"vehicle"
"HEV","Car",1995,"stock",0,"vehicle"
"ICEV-D","Car",1995,"stock",1230091,"vehicle"
"ICEV-G","Car",1995,"stock",125326448,"vehicle"
"PHEV20","Car",1995,"stock",0,"vehicle"
"PHEV40","Car",1995,"stock",0,"vehicle"
"BEV100","Light truck",1995,"stock",0,"vehicle"
"BEV300","Light truck",1995,"stock",0,"vehicle"
"CNG","Light truck",1995,"stock",3132,"vehicle"
"FCV","Light truck",1995,"stock",0,"vehicle"
"FFV","Light truck",1995,"stock",38299,"vehicle"
"HEV","Light truck",1995,"stock",0,"vehicle"
"ICEV-D","Light truck",1995,"stock",1809291,"vehicle"
"ICEV-G","Light truck",1995,"stock",78336654,"vehicle"
"PHEV20","Light truck",1995,"stock",0,"vehicle"
"PHEV40","Light truck",1995,"stock",0,"vehicle"
"BEV100","Car",1996,"stock",0,"vehicle"
"BEV300","Car",1996,"stock",0,"vehicle"
"CNG","Car",1996,"stock",0,"vehicle"
"FCV","Car",1996,"stock",0,"vehicle"
"FFV","Car",1996,"stock",9509,"vehicle"
"HEV","Car",1996,"stock",0,"vehicle"
"ICEV-D","Car",1996,"stock",1061082,"vehicle"
"ICEV-G","Car",1996,"stock",122776471,"vehicle"
"PHEV20","Car",1996,"stock",0,"vehicle"
"PHEV40","Car",1996,"stock",0,"vehicle"
"BEV100","Light truck",1996,"stock",0,"vehicle"
"BEV300","Light truck",1996,"stock",0,"vehicle"
"CNG","Light truck",1996,"stock",3295,"vehicle"
"FCV","Light truck",1996,"stock",0,"vehicle"
"FFV","Light truck",1996,"stock",124186,"vehicle"
"HEV","Light truck",1996,"stock",0,"vehicle"
"ICEV-D","Light truck",1996,"stock",2052962,"vehicle"
"ICEV-G","Light truck",1996,"stock",82148862,"vehicle"
"PHEV20","Light truck",1996,"stock",0,"vehicle"
"PHEV40","Light truck",1996,"stock",0,"vehicle"
"BEV100","Car",1997,"stock",0,"vehicle"
"BEV300","Car",1997,"stock",0,"vehicle"
"CNG","Car",1997,"stock",0,"vehicle"
"FCV","Car",1997,"stock",0,"vehicle"
"FFV","Car",1997,"stock",24547,"vehicle"
"HEV","Car",1997,"stock",0,"vehicle"
"ICEV-D","Car",1997,"stock",901431,"vehicle"
"ICEV-G","Car",1997,"stock",122848706,"vehicle"
"PHEV20","Car",1997,"stock",0,"vehicle"
"PHEV40","Car",1997,"stock",0,"vehicle"
"BEV100","Light truck",1997,"stock",0,"vehicle"
"BEV300","Light truck",1997,"stock",0,"vehicle"
"CNG","Light truck",1997,"stock",3636,"vehicle"
"FCV","Light truck",1997,"stock",0,"vehicle"
"FFV","Light truck",1997,"stock",250509,"vehicle"
"HEV","Light truck",1997,"stock",0,"vehicle"
"ICEV-D","Light truck",1997,"stock",2133724,"vehicle"
"ICEV-G","Light truck",1997,"stock",83271221,"vehicle"
"PHEV20","Light truck",1997,"stock",0,"vehicle"
"PHEV40","Light truck",1997,"stock",0,"vehicle"
"BEV100","Car",1998,"stock",773,"vehicle"
"BEV300","Car",1998,"stock",0,"vehicle"
"CNG","Car",1998,"stock",1031,"vehicle"
"FCV","Car",1998,"stock",0,"vehicle"
"FFV","Car",1998,"stock",67060,"vehicle"
"HEV","Car",1998,"stock",0,"vehicle"
"ICEV-D","Car",1998,"stock",763436,"vehicle"
"ICEV-G","Car",1998,"stock",124938118,"vehicle"
"PHEV20","Car",1998,"stock",0,"vehicle"
"PHEV40","Car",1998,"stock",0,"vehicle"
"BEV100","Light truck",1998,"stock",698,"vehicle"
"BEV300","Light truck",1998,"stock",0,"vehicle"
"CNG","Light truck",1998,"stock",16564,"vehicle"
"FCV","Light truck",1998,"stock",0,"vehicle"
"FFV","Light truck",1998,"stock",455176,"vehicle"
"HEV","Light truck",1998,"stock",0,"vehicle"
"ICEV-D","Light truck",1998,"stock",2234764,"vehicle"
"ICEV-G","Light truck",1998,"stock",84301131,"vehicle"
"PHEV20","Light truck",1998,"stock",0,"vehicle"
"PHEV40","Light truck",1998,"stock",0,"vehicle"
"BEV100","Car",1999,"stock",1321,"vehicle"
"BEV300","Car",1999,"stock",0,"vehicle"
"CNG","Car",1999,"stock",1636,"vehicle"
"FCV","Car",1999,"stock",0,"vehicle"
"FFV","Car",1999,"stock",133538,"vehicle"
"HEV","Car",1999,"stock",16,"vehicle"
"ICEV-D","Car",1999,"stock",652115,"vehicle"
"ICEV-G","Car",1999,"stock",125232787,"vehicle"
"PHEV20","Car",1999,"stock",0,"vehicle"
"PHEV40","Car",1999,"stock",0,"vehicle"
"BEV100","Light truck",1999,"stock",1593,"vehicle"
"BEV300","Light truck",1999,"stock",0,"vehicle"
"CNG","Light truck",1999,"stock",42265,"vehicle"
"FCV","Light truck",1999,"stock",0,"vehicle"
"FFV","Light truck",1999,"stock",851210,"vehicle"
"HEV","Light truck",1999,"stock",0,"vehicle"
"ICEV-D","Light truck",1999,"stock",2371952,"vehicle"
"ICEV-G","Light truck",1999,"stock",88652423,"vehicle"
"PHEV20","Light truck",1999,"stock",0,"vehicle"
"PHEV40","Light truck",1999,"stock",0,"vehicle"
"BEV100","Car",2000,"stock",1793,"vehicle"
"BEV300","Car",2000,"stock",0,"vehicle"
"CNG","Car",2000,"stock",51390,"vehicle"
"FCV","Car",2000,"stock",0,"vehicle"
"FFV","Car",2000,"stock",204636,"vehicle"
"HEV","Car",2000,"stock",8902,"vehicle"
"ICEV-D","Car",2000,"stock",538143,"vehicle"
"ICEV-G","Car",2000,"stock",126068417,"vehicle"
"PHEV20","Car",2000,"stock",0,"vehicle"
"PHEV40","Car",2000,"stock",0,"vehicle"
"BEV100","Light truck",2000,"stock",3389,"vehicle"
"BEV300","Light truck",2000,"stock",0,"vehicle"
"CNG","Light truck",2000,"stock",134464,"vehicle"
"FCV","Light truck",2000,"stock",0,"vehicle"
"FFV","Light truck",2000,"stock",1283813,"vehicle"
"HEV","Light truck",2000,"stock",0,"vehicle"
"ICEV-D","Light truck",2000,"stock",3686833,"vehicle"
"ICEV-G","Light truck",2000,"stock",89787798,"vehicle"
"PHEV20","Light truck",2000,"stock",0,"vehicle"
"PHEV40","Light truck",2000,"stock",0,"vehicle"
"BEV100","Car",2001,"stock",4226,"vehicle"
"BEV300","Car",2001,"stock",0,"vehicle"
"CNG","Car",2001,"stock",101566,"vehicle"
"FCV","Car",2001,"stock",0,"vehicle"
"FFV","Car",2001,"stock",277329,"vehicle"
"HEV","Car",2001,"stock",28123,"vehicle"
"ICEV-D","Car",2001,"stock",493665,"vehicle"
"ICEV-G","Car",2001,"stock",129205161,"vehicle"
"PHEV20","Car",2001,"stock",0,"vehicle"
"PHEV40","Car",2001,"stock",0,"vehicle"
"BEV100","Light truck",2001,"stock",8157,"vehicle"
"BEV300","Light truck",2001,"stock",0,"vehicle"
"CNG","Light truck",2001,"stock",259520,"vehicle"
"FCV","Light truck",2001,"stock",0,"vehicle"
"FFV","Light truck",2001,"stock",1505541,"vehicle"
"HEV","Light truck",2001,"stock",0,"vehicle"
"ICEV-D","Light truck",2001,"stock",4083181,"vehicle"
"ICEV-G","Light truck",2001,"stock",95324008,"vehicle"
"PHEV20","Light truck",2001,"stock",0,"vehicle"
"PHEV40","Light truck",2001,"stock",0,"vehicle"
"BEV100","Car",2002,"stock",8022,"vehicle"
"BEV300","Car",2002,"stock",0,"vehicle"
"CNG","Car",2002,"stock",140891,"vehicle"
"FCV","Car",2002,"stock",0,"vehicle"
"FFV","Car",2002,"stock",351915,"vehicle"
"HEV","Car",2002,"stock",62234,"vehicle"
"ICEV-D","Car",2002,"stock",433069,"vehicle"
"ICEV-G","Car",2002,"stock",127353933,"vehicle"
"PHEV20","Car",2002,"stock",0,"vehicle"
"PHEV40","Car",2002,"stock",0,"vehicle"
"BEV100","Light truck",2002,"stock",19428,"vehicle"
"BEV300","Light truck",2002,"stock",0,"vehicle"
"CNG","Light truck",2002,"stock",383586,"vehicle"
"FCV","Light truck",2002,"stock",0,"vehicle"
"FFV","Light truck",2002,"stock",1792164,"vehicle"
"HEV","Light truck",2002,"stock",0,"vehicle"
"ICEV-D","Light truck",2002,"stock",4268510,"vehicle"
"ICEV-G","Light truck",2002,"stock",95735618,"vehicle"
"PHEV20","Light truck",2002,"stock",0,"vehicle"
"PHEV40","Light truck",2002,"stock",0,"vehicle"
"BEV100","Car",2003,"stock",13756,"vehicle"
"BEV300","Car",2003,"stock",0,"vehicle"
"CNG","Car",2003,"stock",152527,"vehicle"
"FCV","Car",2003,"stock",3,"vehicle"
"FFV","Car",2003,"stock",422216,"vehicle"
"HEV","Car",2003,"stock",107144,"vehicle"
"ICEV-D","Car",2003,"stock",442920,"vehicle"
"ICEV-G","Car",2003,"stock",126816339,"vehicle"
"PHEV20","Car",2003,"stock",0,"vehicle"
"PHEV40","Car",2003,"stock",0,"vehicle"
"BEV100","Light truck",2003,"stock",30699,"vehicle"
"BEV300","Light truck",2003,"stock",0,"vehicle"
"CNG","Light truck",2003,"stock",507653,"vehicle"
"FCV","Light truck",2003,"stock",0,"vehicle"
"FFV","Light truck",2003,"stock",2137561,"vehicle"
"HEV","Light truck",2003,"stock",0,"vehicle"
"ICEV-D","Light truck",2003,"stock",4605132,"vehicle"
"ICEV-G","Light truck",2003,"stock",97378405,"vehicle"
"PHEV20","Light truck",2003,"stock",0,"vehicle"
"PHEV40","Light truck",2003,"stock",0,"vehicle"
"BEV100","Car",2004,"stock",12654,"vehicle"
"BEV300","Car",2004,"stock",0,"vehicle"
"CNG","Car",2004,"stock",145623,"vehicle"
"FCV","Car",2004,"stock",7,"vehicle"
"FFV","Car",2004,"stock",505119,"vehicle"
"HEV","Car",2004,"stock",186296,"vehicle"
"ICEV-D","Car",2004,"stock",484499,"vehicle"
"ICEV-G","Car",2004,"stock",127288345,"vehicle"
"PHEV20","Car",2004,"stock",0,"vehicle"
"PHEV40","Car",2004,"stock",0,"vehicle"
